Año,Trimestre,Provincia,Accesos por cada 100 hogares
2021,1,Neuquén,67.0
2021,1,Río Negro,61.0
2021,1,Salta,54.0
2021,1,San Juan,39.0
2021,1,San Luis,81.0
2021,1,Santa Cruz,42.0
2021,1,Santa Fe,74.0
2021,1,Santiago Del Estero,46.0
2021,1,Tierra Del Fuego,77.0
2021,1,Tucumán,55.0
2020,4,Buenos Aires,69.0
2020,4,Capital Federal,108.0
2020,4,Catamarca,49.0
2020,4,Chaco,43.0
2020,4,Chubut,68.0
2020,4,Córdoba,78.0
2020,4,Corrientes,42.0
2020,4,Entre Ríos,59.0
2020,4,Formosa,32.0
2020,4,Jujuy,53.0
2020,4,La Pampa,82.0
2020,4,La Rioja,50.0
2020,4,Mendoza,39.0
2020,4,Misiones,43.0
2020,4,Neuquén,67.0
2020,4,Río Negro,61.0
2020,4,Salta,54.0
2020,4,San Juan,36.0
2020,4,San Luis,82.0
2020,4,Santa Cruz,37.0
2020,4,Santa Fe,74.0
2020,4,Santiago Del Estero,44.0
2020,4,Tierra Del Fuego,76.0
2020,4,Tucumán,55.0
2020,3,Buenos Aires,68.0
2020,3,Capital Federal,108.0
2020,3,Catamarca,47.0
2020,3,Chaco,42.0
2020,3,Chubut,68.0
2020,3,Córdoba,75.0
2020,3,Corrientes,42.0
2020,3,Entre Ríos,58.0
2020,3,Formosa,32.0
2020,3,Jujuy,54.0
2020,3,La Pampa,79.0
2020,3,La Rioja,50.0
2020,3,Mendoza,37.0
2020,3,Misiones,42.0
2020,3,Neuquén,65.0
2020,3,Río Negro,57.0
2020,3,Salta,52.0
2020,3,San Juan,39.0
2020,3,San Luis,80.0
2020,3,Santa Cruz,36.0
2020,3,Santa Fe,72.0
2020,3,Santiago Del Estero,43.0
2020,3,Tierra Del Fuego,77.0
2020,3,Tucumán,53.0
2020,2,Buenos Aires,65.0
2020,2,Capital Federal,106.0
2020,2,Catamarca,45.0
2020,2,Chaco,40.0
2020,2,Chubut,57.0
2020,2,Córdoba,73.0
2020,2,Corrientes,40.0
2020,2,Entre Ríos,57.0
2020,2,Formosa,31.0
2020,2,Jujuy,48.0
2020,2,La Pampa,76.0
2020,2,La Rioja,50.0
2020,2,Mendoza,36.0
2020,2,Misiones,41.0
